Player,Matches Played,Avg Runs per Match,Strike Rate,Batting Position,Opponent Team,Venue,Previous Match Runs,Form (Last 5 Innings Avg.),Predicted Runs
Tim David,100,34.88,142.59,5,SRH,Wankhede,74,49.46,45
Shimron Hetmyer,196,33.14,132.8,2,CSK,Arun Jaitley,45,34.48,25
Ravindra Jadeja,270,35.63,124.01,7,MI,Arun Jaitley,89,25.33,28
Ishan Kishan,140,37.85,103.2,6,PBKS,Wankhede,117,72.82,69
Venkatesh Iyer,217,53.31,154.53,2,SRH,M. A. Chidambaram,68,43.45,46
MS Dhoni,24,50.89,160.9,1,LSG,Chinnaswamy,74,76.77,69
Tim David,266,31.45,124.68,1,MI,M. A. Chidambaram,67,34.27,25
Will Jacks,261,43.31,147.6,4,LSG,DY Patil,48,74.81,67
Will Jacks,213,37.13,147.0,4,RR,Chinnaswamy,44,29.97,41
Pat Cummins,216,45.64,173.06,4,RR,Chinnaswamy,108,88.75,74
Devon Conway,19,22.44,142.54,6,LSG,DY Patil,5,29.83,41
Sarfaraz Khan,235,52.6,162.66,6,RR,Narendra Modi,47,13.88,46
Devdutt Padikkal,116,45.16,104.9,2,MI,DY Patil,21,36.87,37
Noor Ahmad,206,22.42,147.2,2,CSK,Chinnaswamy,47,39.15,37
Shivam Dube,149,26.64,119.76,4,LSG,Wankhede,24,26.46,27
Suryakumar Yadav,101,46.75,151.12,6,DC,Eden Gardens,79,40.08,34
Glenn Maxwell,239,33.61,122.9,4,GT,Narendra Modi,66,12.45,25
Kyle Mayers,89,53.59,115.87,7,GT,M. A. Chidambaram,65,89.05,63
Mayank Agarwal,209,40.69,178.26,2,PBKS,Arun Jaitley,14,36.41,30
Shubman Gill,118,53.7,111.11,6,MI,Narendra Modi,47,68.59,54
Cameron Green,229,44.85,142.08,7,RR,Narendra Modi,36,86.79,78
Heinrich Klaasen,136,39.72,139.46,5,GT,Eden Gardens,62,18.68,36
David Warner,264,50.45,162.42,4,PBKS,Wankhede,118,66.29,62
Shikhar Dhawan,266,45.38,117.31,5,CSK,Chinnaswamy,51,77.57,61
Nicholas Pooran,145,38.12,112.73,1,SRH,DY Patil,50,38.64,31
Shimron Hetmyer,128,53.5,125.42,3,CSK,DY Patil,47,69.28,57
Mayank Agarwal,276,33.42,111.03,4,RCB,Eden Gardens,86,23.08,22
Dinesh Karthik,230,28.63,177.53,2,RR,Wankhede,44,29.18,36
Heinrich Klaasen,171,30.72,160.1,5,RCB,Arun Jaitley,68,74.67,58
Jos Buttler,244,30.98,173.01,5,MI,Chinnaswamy,112,26.5,42
Liam Livingstone,16,32.34,161.8,4,RR,Arun Jaitley,109,21.56,39
Suyash Sharma,235,32.68,137.67,6,MI,Wankhede,78,65.74,61
Noor Ahmad,46,41.65,173.75,1,CSK,Arun Jaitley,120,21.45,42
Sai Sudharsan,176,52.45,117.79,3,PBKS,Arun Jaitley,37,33.61,45
Riyan Parag,39,42.02,143.92,3,GT,DY Patil,44,52.32,49
Harry Brook,39,40.59,164.9,4,RCB,M. A. Chidambaram,113,29.08,42
Washington Sundar,161,42.43,172.86,5,PBKS,Eden Gardens,21,79.93,60
Sai Sudharsan,156,37.8,138.0,2,GT,M. A. Chidambaram,88,81.79,67
Devdutt Padikkal,164,50.81,119.87,2,GT,Arun Jaitley,97,41.39,38
Jos Buttler,33,45.06,127.15,1,SRH,Arun Jaitley,85,34.82,51
Prithvi Shaw,39,53.41,168.29,2,CSK,Arun Jaitley,91,62.99,58
Dawid Malan,153,41.54,172.1,7,DC,Chinnaswamy,96,67.12,46
Ajinkya Rahane,145,25.59,118.6,6,KKR,Arun Jaitley,91,24.73,31
KL Rahul,125,40.87,117.59,4,GT,Arun Jaitley,2,85.12,73
Chetan Sakariya,62,32.06,152.54,5,GT,Wankhede,69,88.03,51
Cameron Green,111,50.28,122.53,4,MI,Eden Gardens,39,21.23,47
Jonny Bairstow,15,21.9,162.65,3,CSK,Arun Jaitley,18,49.7,46
Will Jacks,125,52.33,171.08,5,KKR,Narendra Modi,72,58.76,47
Kyle Mayers,178,43.55,108.69,4,PBKS,DY Patil,77,41.34,37
Ruturaj Gaikwad,206,45.85,179.29,4,LSG,M. A. Chidambaram,71,52.37,64
Shreyas Iyer,189,40.34,148.69,7,MI,Eden Gardens,73,43.42,45
MS Dhoni,272,53.56,174.99,7,KKR,M. A. Chidambaram,66,39.68,62
Manish Pandey,261,28.11,107.06,4,RR,Narendra Modi,105,24.4,18
Jitesh Sharma,63,25.63,106.13,3,CSK,Eden Gardens,76,84.16,67
Rilee Rossouw,157,20.37,151.3,5,RCB,Chinnaswamy,68,16.61,31
Virat Kohli,39,41.12,166.56,2,LSG,Chinnaswamy,57,30.43,36
Ben Stokes,164,24.34,100.53,4,DC,M. A. Chidambaram,102,12.2,18
KL Rahul,56,49.92,115.91,4,LSG,Eden Gardens,114,29.87,54
Dinesh Karthik,174,22.2,160.8,3,MI,Eden Gardens,84,59.23,52
Shubman Gill,126,50.4,151.05,5,MI,Arun Jaitley,6,52.75,47
Liam Livingstone,99,38.89,165.03,1,PBKS,M. A. Chidambaram,109,33.39,33
Ruturaj Gaikwad,130,24.78,165.5,7,MI,Arun Jaitley,11,51.75,38
KL Rahul,24,32.96,133.12,7,MI,Narendra Modi,4,89.1,57
Shahrukh Khan,243,22.9,157.87,6,GT,Eden Gardens,118,28.66,25
Shikhar Dhawan,288,46.69,173.41,5,LSG,Eden Gardens,16,30.73,50
KS Bharat,136,25.91,130.54,1,CSK,DY Patil,89,70.43,59
Riyan Parag,37,36.23,113.78,6,GT,Arun Jaitley,79,14.52,33
Tilak Varma,128,54.93,166.72,5,RCB,Arun Jaitley,111,75.41,80
Pat Cummins,66,44.64,154.89,5,SRH,Arun Jaitley,55,70.59,51
Chetan Sakariya,172,49.81,119.74,1,LSG,Arun Jaitley,82,72.59,74
David Miller,285,52.48,139.26,5,RCB,Wankhede,101,80.37,61
MS Dhoni,11,37.08,125.45,2,RR,Eden Gardens,52,57.37,44
Mayank Agarwal,264,36.65,155.84,1,SRH,DY Patil,12,85.78,63
Shikhar Dhawan,99,32.07,133.01,1,MI,DY Patil,90,49.86,52
Rahmanullah Gurbaz,115,47.51,135.68,3,DC,DY Patil,41,61.33,66
KL Rahul,150,51.87,149.8,5,MI,DY Patil,52,29.31,44
Venkatesh Iyer,44,41.37,161.28,1,RR,Narendra Modi,117,85.09,62
Dinesh Karthik,74,48.26,140.57,6,MI,M. A. Chidambaram,72,50.41,39
Shikhar Dhawan,112,40.52,126.35,4,RR,Narendra Modi,31,48.39,41
Jonny Bairstow,157,38.99,114.37,1,MI,DY Patil,31,29.25,42
Devdutt Padikkal,187,49.25,133.95,4,CSK,Wankhede,73,29.37,39
Ajinkya Rahane,96,27.67,113.7,3,DC,Arun Jaitley,116,28.69,43
Suyash Sharma,36,47.15,127.9,6,DC,Wankhede,109,14.86,43
Shubman Gill,25,41.69,169.24,4,KKR,DY Patil,16,71.0,65
Ruturaj Gaikwad,214,29.57,128.08,2,DC,DY Patil,19,73.43,42
Sam Curran,96,23.8,150.5,2,SRH,Wankhede,9,71.1,55
Shikhar Dhawan,72,52.78,161.36,3,GT,M. A. Chidambaram,114,13.78,32
Yashasvi Jaiswal,197,54.55,132.96,1,SRH,Narendra Modi,119,14.17,40
Harry Brook,134,38.49,164.36,5,CSK,Wankhede,5,64.17,45
Riyan Parag,286,40.87,145.28,2,LSG,Arun Jaitley,38,27.77,29
Matthew Wade,161,38.73,140.45,2,MI,Eden Gardens,40,13.76,23
Glenn Maxwell,295,27.2,164.08,7,SRH,Chinnaswamy,5,17.43,25
Harry Brook,203,20.44,108.15,7,CSK,Narendra Modi,62,56.88,32
Shimron Hetmyer,163,25.93,123.65,1,LSG,Narendra Modi,80,87.26,67
Sanju Samson,266,31.46,173.78,3,RCB,Narendra Modi,101,87.18,73
Heinrich Klaasen,172,27.66,141.83,1,CSK,Arun Jaitley,100,16.82,13
Glenn Maxwell,78,29.31,151.89,6,DC,DY Patil,85,86.61,49
Ben Stokes,222,20.13,110.52,6,LSG,Eden Gardens,18,28.02,20
Ruturaj Gaikwad,282,41.41,118.6,2,RCB,Arun Jaitley,82,10.68,30
Shivam Dube,153,52.43,132.92,3,KKR,M. A. Chidambaram,11,76.27,58
Tilak Varma,241,34.94,166.47,4,RCB,Chinnaswamy,84,15.19,21
Jos Buttler,154,36.62,106.22,2,RR,Narendra Modi,87,45.05,34
Deepak Hooda,230,41.07,100.71,1,SRH,Wankhede,31,64.99,67
Washington Sundar,230,38.78,152.4,1,MI,Eden Gardens,105,67.69,62
Shikhar Dhawan,18,50.01,155.52,6,MI,Wankhede,105,82.03,72
Suyash Sharma,79,38.09,176.43,7,SRH,Chinnaswamy,113,37.31,42
Rinku Singh,118,40.1,154.54,6,RCB,M. A. Chidambaram,109,70.49,62
Deepak Hooda,127,41.38,134.54,3,CSK,Narendra Modi,18,68.72,60
Rahmanullah Gurbaz,203,27.68,137.3,6,SRH,Narendra Modi,82,26.48,29
David Miller,267,33.33,144.18,5,RCB,M. A. Chidambaram,2,55.01,52
Virat Kohli,300,42.41,157.25,3,RR,Wankhede,77,70.69,55
Will Jacks,97,30.49,154.4,5,CSK,Eden Gardens,33,33.84,42
Devon Conway,120,40.41,124.35,4,GT,Arun Jaitley,54,85.45,77
MS Dhoni,189,43.54,160.98,2,LSG,Narendra Modi,43,37.21,38
Pat Cummins,257,23.05,105.52,4,CSK,M. A. Chidambaram,8,10.29,18
Devon Conway,135,41.36,144.83,6,RCB,Chinnaswamy,22,28.72,50
Chetan Sakariya,77,31.27,114.05,6,RCB,Chinnaswamy,98,23.7,29
Abhishek Sharma,284,30.52,161.67,3,GT,DY Patil,98,47.0,32
Cameron Green,61,38.34,134.68,7,GT,Chinnaswamy,24,20.31,27
Josh Inglis,52,23.35,158.46,2,GT,M. A. Chidambaram,106,64.12,57
Shikhar Dhawan,178,50.54,121.14,3,SRH,Eden Gardens,36,10.46,44
Shubman Gill,18,29.5,148.22,1,KKR,Chinnaswamy,69,55.71,36
Deepak Hooda,40,48.83,117.6,3,PBKS,Arun Jaitley,51,74.6,77
Washington Sundar,265,25.07,104.98,4,SRH,M. A. Chidambaram,61,57.05,39
Abhishek Sharma,16,37.51,177.21,7,SRH,Wankhede,4,47.4,45
Prithvi Shaw,33,41.51,143.86,3,MI,Chinnaswamy,59,54.46,51
Manish Pandey,235,46.81,152.82,4,KKR,Wankhede,70,14.92,46
Liam Livingstone,186,42.45,120.48,3,MI,Chinnaswamy,41,47.39,43
Faf du Plessis,231,49.78,108.51,7,MI,Narendra Modi,56,51.84,43
Kyle Mayers,163,39.73,112.17,6,KKR,Chinnaswamy,76,85.79,60
Ravindra Jadeja,136,22.98,157.42,6,RCB,Eden Gardens,49,46.08,48
Shreyas Iyer,13,30.61,142.54,4,LSG,Narendra Modi,66,33.94,45
Sanju Samson,280,43.75,162.17,4,CSK,Chinnaswamy,48,38.41,41
Sanju Samson,195,28.24,143.82,1,RR,M. A. Chidambaram,72,29.07,41
Hardik Pandya,262,40.43,134.49,6,SRH,DY Patil,40,81.68,60
Dinesh Karthik,75,30.51,100.55,2,SRH,Narendra Modi,31,87.04,64
KL Rahul,128,44.32,161.96,7,SRH,M. A. Chidambaram,34,39.64,36
Quinton de Kock,152,51.77,118.53,6,KKR,M. A. Chidambaram,48,53.46,54
Josh Inglis,287,23.32,131.23,7,CSK,M. A. Chidambaram,41,34.5,27
Sam Curran,174,47.6,112.08,6,MI,DY Patil,39,51.25,46
Sam Curran,72,38.0,127.55,7,GT,M. A. Chidambaram,41,76.91,52
Rohit Sharma,85,25.26,107.19,1,RCB,Chinnaswamy,81,49.21,52
Sai Sudharsan,73,25.76,114.79,1,LSG,DY Patil,105,21.27,19
Ravindra Jadeja,164,41.54,138.05,2,LSG,M. A. Chidambaram,59,76.82,63
Shubman Gill,165,38.97,132.16,3,LSG,DY Patil,2,23.49,33
Manish Pandey,194,30.45,131.51,3,CSK,DY Patil,59,36.02,27
David Warner,28,47.91,179.47,3,RCB,Wankhede,20,55.69,65
Ruturaj Gaikwad,154,27.51,135.17,2,MI,M. A. Chidambaram,72,74.36,64
Sai Sudharsan,290,53.63,169.43,1,DC,Arun Jaitley,41,46.28,60
Rilee Rossouw,233,34.82,132.33,2,CSK,M. A. Chidambaram,51,78.03,52
Josh Inglis,71,52.26,108.61,5,DC,M. A. Chidambaram,8,74.19,57
Venkatesh Iyer,257,41.32,154.1,3,RR,DY Patil,110,11.55,19
Jonny Bairstow,223,27.39,104.37,3,LSG,Eden Gardens,28,22.06,20
Shreyas Iyer,26,25.7,118.27,5,DC,Narendra Modi,88,52.07,45
Jitesh Sharma,294,49.57,148.14,7,PBKS,Wankhede,55,24.98,42
KS Bharat,50,23.65,116.19,4,DC,DY Patil,53,55.07,34
Mayank Agarwal,261,49.32,170.38,1,SRH,Wankhede,107,58.03,66
Yashasvi Jaiswal,88,29.55,153.29,2,DC,Eden Gardens,41,35.69,26
Nitish Rana,26,45.83,138.54,7,RR,M. A. Chidambaram,41,64.01,49
Yashasvi Jaiswal,282,51.33,139.21,2,PBKS,Eden Gardens,84,61.55,48
MS Dhoni,102,37.18,176.33,1,SRH,Chinnaswamy,107,82.68,57
Sam Curran,289,29.61,128.56,7,MI,Narendra Modi,33,75.76,58
Rohit Sharma,251,52.99,102.64,5,RCB,Eden Gardens,47,68.78,71
Nitish Rana,102,25.98,149.29,6,DC,Eden Gardens,25,23.49,22
Devon Conway,124,32.22,168.5,3,RCB,M. A. Chidambaram,94,71.24,42
David Miller,99,21.83,116.81,4,RCB,Arun Jaitley,31,40.58,23
Dawid Malan,36,23.24,135.58,4,RR,Wankhede,116,37.1,38
Tilak Varma,272,33.46,171.14,7,MI,Wankhede,33,64.49,62
Shikhar Dhawan,279,49.26,144.88,4,RR,DY Patil,62,87.9,62
Travis Head,206,51.52,141.02,4,MI,DY Patil,60,32.18,48
Cameron Green,198,40.98,142.69,5,RR,Arun Jaitley,5,87.55,58
Dawid Malan,73,35.06,119.2,3,KKR,Wankhede,53,26.89,43
Harry Brook,225,34.68,162.79,7,PBKS,Arun Jaitley,68,54.94,53
Tilak Varma,59,48.61,150.8,5,RR,M. A. Chidambaram,119,62.21,62
Suyash Sharma,110,31.63,108.0,1,SRH,Narendra Modi,1,40.97,31
Josh Inglis,70,39.27,134.44,1,LSG,Narendra Modi,89,70.06,65
Manish Pandey,233,39.92,100.96,1,GT,Chinnaswamy,14,46.53,33
Venkatesh Iyer,288,37.67,125.68,6,CSK,Narendra Modi,91,35.42,37
Deepak Hooda,231,52.7,125.3,1,SRH,Chinnaswamy,74,78.92,60
Quinton de Kock,25,41.26,158.23,1,MI,M. A. Chidambaram,23,53.79,61
Glenn Maxwell,172,42.91,141.86,6,KKR,M. A. Chidambaram,7,11.52,41
David Miller,117,25.36,107.99,6,CSK,M. A. Chidambaram,47,48.02,41
Deepak Hooda,12,49.64,109.42,1,SRH,Eden Gardens,57,27.74,52
Devon Conway,113,47.29,122.1,1,SRH,Chinnaswamy,98,67.18,53
Chetan Sakariya,167,22.06,142.05,1,GT,Eden Gardens,115,65.16,53
Washington Sundar,127,52.98,168.03,4,CSK,DY Patil,63,60.23,50
Shubman Gill,293,30.47,106.73,1,KKR,Eden Gardens,27,67.14,51
Josh Inglis,106,22.76,109.44,5,RCB,Chinnaswamy,44,47.77,41
Kane Williamson,163,46.17,175.8,1,KKR,Narendra Modi,117,34.7,55
Washington Sundar,124,50.57,109.36,4,GT,Narendra Modi,66,24.35,43
Rilee Rossouw,146,38.38,120.13,1,RCB,Narendra Modi,20,87.68,63
Will Jacks,274,23.13,163.74,3,DC,Arun Jaitley,97,45.0,39
Manish Pandey,65,53.48,160.08,7,GT,M. A. Chidambaram,117,43.62,48
Rohit Sharma,209,37.14,138.78,4,DC,DY Patil,51,74.89,47
David Warner,163,44.66,129.89,3,LSG,Wankhede,20,76.57,75
Prithvi Shaw,228,44.23,135.47,3,CSK,Eden Gardens,65,17.38,33
Suyash Sharma,218,50.21,139.85,1,DC,Eden Gardens,51,20.08,48
Nitish Rana,108,40.91,169.23,6,CSK,Narendra Modi,119,60.16,44
Deepak Hooda,233,53.74,109.34,6,CSK,Narendra Modi,60,41.47,40
Sarfaraz Khan,85,31.76,114.39,5,RCB,Wankhede,1,18.29,34
Jitesh Sharma,47,40.35,146.22,5,KKR,Narendra Modi,34,35.12,39
Will Jacks,272,25.57,127.8,1,PBKS,M. A. Chidambaram,87,11.55,15
Deepak Hooda,226,22.79,110.53,5,GT,Narendra Modi,37,11.09,9
Shreyas Iyer,243,20.39,150.18,4,PBKS,Arun Jaitley,29,60.67,47
Sanju Samson,275,39.93,173.22,3,MI,Wankhede,72,36.91,40
Chetan Sakariya,85,41.62,168.28,3,PBKS,Chinnaswamy,8,25.56,42
Josh Inglis,113,37.59,150.42,6,GT,Wankhede,45,89.65,54
Harpreet Singh,297,37.4,130.99,5,SRH,Narendra Modi,106,49.46,39
Suyash Sharma,289,47.07,105.54,4,SRH,Wankhede,116,59.18,68
Liam Livingstone,76,46.33,167.73,3,MI,Narendra Modi,58,84.41,74
Jitesh Sharma,249,27.08,161.89,3,CSK,Wankhede,12,75.47,56
Liam Livingstone,148,35.49,128.09,3,PBKS,M. A. Chidambaram,119,22.15,40
Devon Conway,11,42.9,151.23,1,MI,Narendra Modi,15,35.46,44
David Warner,201,29.59,153.56,4,SRH,Arun Jaitley,84,81.95,46
Venkatesh Iyer,214,43.27,140.7,7,DC,Eden Gardens,20,26.63,46
David Warner,185,26.69,167.13,5,CSK,DY Patil,72,23.99,33
Shahrukh Khan,277,22.44,143.65,3,LSG,DY Patil,15,86.4,62
Dinesh Karthik,23,46.47,108.64,6,LSG,Narendra Modi,69,51.59,63
David Miller,164,21.56,137.47,5,RCB,Chinnaswamy,25,46.15,44
Shubman Gill,265,35.6,122.18,1,PBKS,Eden Gardens,15,38.03,27
David Warner,73,42.5,106.44,2,PBKS,Arun Jaitley,111,58.72,52
Jonny Bairstow,146,20.15,133.21,3,RCB,Wankhede,107,32.28,36
Yashasvi Jaiswal,196,45.77,103.35,7,DC,M. A. Chidambaram,42,58.7,63
Travis Head,99,24.92,161.59,1,SRH,DY Patil,88,47.74,49
Deepak Hooda,181,51.24,169.03,4,SRH,Narendra Modi,86,37.16,38
Shivam Dube,114,49.38,111.23,7,KKR,Narendra Modi,108,66.92,48
Quinton de Kock,138,24.6,154.26,2,GT,DY Patil,119,47.09,27
Deepak Hooda,228,50.28,162.07,3,RCB,Arun Jaitley,27,37.33,38
Rinku Singh,231,38.14,123.1,1,PBKS,Narendra Modi,61,64.96,52
Jason Roy,267,51.76,122.93,2,CSK,Eden Gardens,16,16.02,26
Quinton de Kock,129,38.16,100.78,1,PBKS,Narendra Modi,10,10.18,33
Rohit Sharma,232,51.04,147.02,4,SRH,M. A. Chidambaram,78,89.8,66
Jason Roy,150,49.42,122.82,1,KKR,Eden Gardens,3,13.38,38
Travis Head,267,41.29,134.13,3,SRH,Eden Gardens,65,33.96,49
Ravindra Jadeja,81,37.11,141.84,5,PBKS,DY Patil,116,31.21,49
MS Dhoni,211,35.62,124.44,7,RR,Wankhede,110,41.21,41
Rinku Singh,25,49.74,129.77,6,GT,Wankhede,104,86.87,83
Kane Williamson,48,26.34,104.18,1,RCB,Narendra Modi,67,76.18,42
Will Jacks,68,28.97,178.15,7,RR,M. A. Chidambaram,98,67.12,56
Will Jacks,25,51.78,104.37,3,GT,Wankhede,9,24.85,39
David Warner,116,50.61,116.01,1,MI,DY Patil,63,79.07,67
David Warner,287,27.76,132.76,5,GT,DY Patil,11,82.07,64
KS Bharat,248,36.51,133.43,7,MI,Wankhede,22,57.71,61
Deepak Hooda,119,33.15,174.05,3,LSG,Narendra Modi,37,32.33,48
Matthew Wade,174,33.72,172.35,6,RCB,Eden Gardens,71,72.64,65
Matthew Wade,30,50.65,175.2,3,MI,Arun Jaitley,5,49.28,44
Shimron Hetmyer,138,39.52,163.8,5,CSK,Chinnaswamy,118,29.16,25
Ishan Kishan,10,30.3,130.94,1,RCB,Chinnaswamy,35,63.45,55
Matthew Wade,292,29.12,114.0,4,LSG,Wankhede,37,12.54,17
Shivam Dube,214,32.49,137.51,6,KKR,Arun Jaitley,67,66.29,48
Deepak Hooda,184,51.78,117.52,6,MI,M. A. Chidambaram,23,62.45,72
Noor Ahmad,291,51.95,157.85,3,MI,Wankhede,16,46.25,59
Venkatesh Iyer,230,26.28,165.4,7,SRH,DY Patil,67,18.45,18
Shimron Hetmyer,147,41.4,126.83,6,LSG,Wankhede,90,64.63,54
Shivam Dube,268,48.03,153.4,7,GT,DY Patil,89,44.74,50
Ravindra Jadeja,111,21.3,146.48,2,MI,M. A. Chidambaram,61,21.54,34
Travis Head,130,30.47,160.87,6,GT,Wankhede,16,39.29,50
Josh Inglis,21,23.9,138.2,7,PBKS,Wankhede,17,52.17,35
Axar Patel,217,26.04,145.32,5,MI,Wankhede,111,78.64,49
Virat Kohli,170,31.94,159.54,3,PBKS,Wankhede,65,87.74,63
Shivam Dube,100,42.0,131.91,5,LSG,M. A. Chidambaram,98,28.38,47
Axar Patel,176,53.1,123.06,3,PBKS,Narendra Modi,91,18.72,47
Will Jacks,258,49.49,171.35,1,PBKS,Chinnaswamy,113,85.76,71
Travis Head,42,36.71,154.57,1,MI,Eden Gardens,15,48.06,40
MS Dhoni,223,40.93,126.92,1,PBKS,Eden Gardens,95,10.46,30
Liam Livingstone,202,21.68,163.25,3,DC,Narendra Modi,7,66.25,59
Jitesh Sharma,205,38.78,175.74,1,KKR,Narendra Modi,35,22.52,45
KS Bharat,69,36.54,158.11,5,RCB,M. A. Chidambaram,69,56.22,43
Nicholas Pooran,145,39.1,145.06,6,CSK,Eden Gardens,0,68.32,58
Matthew Wade,116,51.98,126.45,3,PBKS,Chinnaswamy,52,73.44,60
Riyan Parag,44,48.27,127.65,5,DC,Chinnaswamy,44,78.6,78
Marcus Stoinis,220,50.02,137.13,2,CSK,Narendra Modi,47,72.76,52
Tim David,75,29.82,178.55,4,DC,Narendra Modi,71,33.86,23
Ravindra Jadeja,116,38.67,171.05,3,KKR,Chinnaswamy,114,77.94,68
Sanju Samson,297,36.59,101.28,7,SRH,DY Patil,50,27.97,47
Dinesh Karthik,37,37.96,143.33,4,LSG,Wankhede,98,38.99,45
Suryakumar Yadav,224,54.49,150.09,6,CSK,Narendra Modi,65,72.5,69
Sanju Samson,292,24.94,115.75,5,DC,Eden Gardens,33,21.58,33
KL Rahul,222,21.17,113.66,3,CSK,Arun Jaitley,97,67.35,38
Noor Ahmad,237,31.36,120.54,4,PBKS,Narendra Modi,40,31.96,34
Sarfaraz Khan,79,39.12,125.27,2,RR,Eden Gardens,79,16.95,41
Dawid Malan,75,26.97,101.79,2,SRH,M. A. Chidambaram,4,53.12,34
Shahrukh Khan,190,31.58,167.32,3,PBKS,DY Patil,67,41.46,29
Prithvi Shaw,151,29.06,163.28,6,CSK,Eden Gardens,47,62.2,51
Jonny Bairstow,152,44.75,145.2,5,DC,Wankhede,23,33.75,44
Sam Curran,281,30.35,105.06,4,SRH,Narendra Modi,98,81.58,55
Jonny Bairstow,89,32.25,127.48,2,LSG,Arun Jaitley,79,26.14,25
Ruturaj Gaikwad,286,38.45,152.2,3,RR,DY Patil,86,44.95,38
Moeen Ali,136,51.61,103.75,7,CSK,Wankhede,11,85.71,71
Devon Conway,97,52.95,142.87,2,SRH,DY Patil,43,48.32,61
Washington Sundar,65,36.15,157.83,2,CSK,M. A. Chidambaram,74,30.5,45
Venkatesh Iyer,24,40.66,141.49,2,KKR,Arun Jaitley,108,23.6,23
Cameron Green,292,28.82,171.48,5,KKR,Wankhede,67,43.0,39
Yashasvi Jaiswal,278,30.44,112.85,3,PBKS,M. A. Chidambaram,2,18.44,30
Shubman Gill,74,50.87,123.0,2,DC,Arun Jaitley,120,20.61,31
Mayank Agarwal,109,35.92,151.03,2,GT,Narendra Modi,5,18.04,38
Ishan Kishan,113,50.65,148.63,3,LSG,DY Patil,118,85.41,75
Devdutt Padikkal,169,51.46,159.62,6,RCB,Narendra Modi,0,67.81,60
Heinrich Klaasen,245,52.4,165.53,2,RCB,Eden Gardens,60,43.88,62
Shikhar Dhawan,138,30.89,152.53,7,GT,DY Patil,58,14.38,27
KL Rahul,73,21.83,129.2,2,PBKS,Narendra Modi,29,49.37,45
Liam Livingstone,118,36.57,130.65,6,GT,DY Patil,94,53.29,35
Jos Buttler,106,37.97,153.21,4,MI,Arun Jaitley,7,24.83,33
Ben Stokes,219,41.17,154.54,3,KKR,Narendra Modi,84,25.09,41
Ruturaj Gaikwad,140,36.03,148.77,2,CSK,M. A. Chidambaram,23,44.57,36
KL Rahul,157,48.84,105.46,3,RCB,Arun Jaitley,87,81.74,56
Josh Inglis,243,37.03,121.4,4,GT,Wankhede,41,35.7,28
Rahmanullah Gurbaz,109,49.77,129.02,3,PBKS,Narendra Modi,39,17.61,33
Quinton de Kock,19,47.77,149.59,5,CSK,Narendra Modi,39,88.97,81
Matthew Wade,29,48.67,154.73,5,DC,Eden Gardens,65,39.05,40
Will Jacks,274,35.12,152.96,6,DC,Eden Gardens,11,74.81,67
Josh Inglis,13,44.65,125.45,2,DC,Narendra Modi,68,27.85,44
Jonny Bairstow,89,39.23,114.39,1,RCB,M. A. Chidambaram,85,59.32,50
Hardik Pandya,208,44.51,110.95,4,DC,M. A. Chidambaram,15,69.96,71
Jitesh Sharma,250,32.64,164.02,2,RR,DY Patil,3,29.98,31
Dinesh Karthik,14,39.92,121.14,3,KKR,Eden Gardens,19,59.02,46
Heinrich Klaasen,199,30.36,163.04,3,RCB,DY Patil,88,32.55,35
Ajinkya Rahane,225,40.15,153.55,4,RR,DY Patil,94,43.49,53
Ishan Kishan,185,26.32,112.64,3,GT,Narendra Modi,8,73.17,46
Mayank Agarwal,117,48.86,151.74,4,CSK,Eden Gardens,28,56.64,47
Devon Conway,272,27.88,111.02,5,RR,Eden Gardens,74,64.07,59
Jonny Bairstow,82,37.8,140.62,4,CSK,DY Patil,118,86.52,77
Faf du Plessis,196,28.62,168.18,7,KKR,DY Patil,45,13.84,16
Harpreet Singh,288,44.94,175.32,6,GT,Eden Gardens,34,19.03,28
Virat Kohli,131,35.73,155.38,3,GT,Narendra Modi,100,33.53,35
Shikhar Dhawan,289,33.49,102.09,3,CSK,Eden Gardens,6,31.65,31
Shimron Hetmyer,154,54.35,154.29,3,RCB,M. A. Chidambaram,76,40.27,40
Faf du Plessis,258,51.57,119.67,7,CSK,Arun Jaitley,94,20.12,34
Marcus Stoinis,82,42.38,172.41,2,RCB,M. A. Chidambaram,81,43.2,51
KS Bharat,26,37.75,110.65,3,RR,M. A. Chidambaram,45,48.86,34
David Miller,210,38.31,159.38,4,MI,DY Patil,79,34.44,48
Shubman Gill,203,36.8,122.38,1,RR,Chinnaswamy,87,13.95,24
Sam Curran,30,37.08,168.41,1,SRH,Wankhede,55,82.11,60
Devon Conway,149,21.88,106.23,4,RR,DY Patil,83,32.55,25
Shikhar Dhawan,66,46.54,168.62,2,CSK,DY Patil,30,88.83,76
Venkatesh Iyer,124,50.51,142.83,5,SRH,Eden Gardens,72,67.9,66
KS Bharat,49,24.58,104.75,4,LSG,Wankhede,55,72.26,50
Andre Russell,39,25.54,171.0,6,RCB,Chinnaswamy,44,13.47,19
Tilak Varma,239,47.85,142.72,6,GT,Chinnaswamy,103,89.55,59
Yashasvi Jaiswal,138,22.82,170.18,1,RCB,Arun Jaitley,75,83.35,44
Will Jacks,208,20.34,107.95,3,PBKS,M. A. Chidambaram,22,83.09,56
Yashasvi Jaiswal,17,33.9,126.75,1,KKR,Chinnaswamy,2,78.05,64
